#GENE	ALL_0.1%	%ALL_0.1%
A1BG	-0.47	23.51
A1CF	-0.38	28.01
A2LD1	0.19	66.32
A2M	0.1	60.76
A2ML1	2.42	98.53
A3GALT2	NA	NA
A4GALT	-0.29	33.34
A4GNT	1.11	92.04
AAAS	-0.91	9.96
AACS	-1.17	6.04
AADAC	-0.09	46.92
AADACL2	-0.31	31.93
AADACL3	2.13	97.92
AADACL4	-0.62	17.32
AADAT	-0.12	44.89
AAED1	0.17	65.56
AAGAB	0.02	55.61
AAK1	-0.66	15.91
AAMP	0.04	57.15
AANAT	-0.07	48.54
AAR2	-0.31	32.06
AARD	NA	NA
AARS	-0.66	16.12
AARS2	1.14	92.37
AARSD1	-0.07	48.78
AASDH	1.05	91.37
AASDHPPT	-0.38	27.42
AASS	-0.91	10.12
AATF	-0.29	33.47
AATK	NA	NA
ABAT	-0.33	30.74
ABCA1	-0.24	36.29
ABCA10	1.04	91.15
ABCA12	-0.3	32.27
ABCA13	4.73	99.79
ABCA2	-4.24	0.12
ABCA3	-1.48	3.71
ABCA4	0.74	86.31
ABCA5	0.77	86.96
ABCA6	0.26	70.44
ABCA7	-2.15	1.46
ABCA8	0.91	89.47
ABCA9	0	53.73
ABCB1	0.1	60.76
ABCB10	-0.13	43.91
ABCB11	-1.14	6.39
ABCB4	-0.55	20.02
ABCB5	4.18	99.7
ABCB6	-0.37	28.26
ABCB7	0.86	88.69
ABCB8	0.3	71.64
ABCB9	-1.82	2.16
ABCC1	-0.84	11.29
ABCC10	-1.71	2.51
ABCC11	1.62	96.04
ABCC12	1.11	92.07
ABCC2	0.96	90.09
ABCC3	0.69	85.21
ABCC4	0.21	67.72
ABCC5	-1.97	1.82
ABCC6	0.63	83.54
ABCC8	-2.09	1.57
ABCC9	-1.97	1.82
ABCD1	-0.54	20.54
ABCD2	-0.09	46.92
ABCD3	-0.65	16.44
ABCD4	0.8	87.72
ABCE1	-0.25	35.42
ABCF1	-0.22	37.54
ABCF2	-0.47	23.51
ABCF3	-0.77	13.15
ABCG1	-1.37	4.43
ABCG2	-0.2	39.17
ABCG4	-0.07	48.69
ABCG5	1.16	92.65
ABCG8	0.74	86.38
ABHD1	-0.11	45.49
ABHD10	0.6	82.66
ABHD11	-0.4	26.53
ABHD12	-0.16	42.06
ABHD12B	1.04	91.26
ABHD13	-0.32	31.46
ABHD14A	0.77	87.06
ABHD14A-ACY1	NA	NA
ABHD14B	0.22	67.92
ABHD15	-0.25	36.07
ABHD16A	-0.34	30.56
ABHD16B	NA	NA
ABHD2	-0.03	51.92
ABHD3	-0.2	38.82
ABHD4	-0.98	8.75
ABHD5	-0.42	25.56
ABHD6	-0.49	22.09
ABHD8	-0.2	38.82
ABI1	-0.32	31.69
ABI2	-0.36	28.63
ABI3	-0.03	51.92
ABI3BP	0.45	78.05
ABL1	-1.63	2.85
ABL2	-0.99	8.6
ABLIM1	-0.24	36.28
ABLIM2	-1.51	3.54
ABLIM3	-1.15	6.29
ABP1	-0.59	18.25
ABR	-1.04	7.8
ABRA	-0.2	38.98
ABRACL	0.04	56.25
ABT1	-0.27	34.32
ABTB1	-0.95	9.27
ABTB2	-1.01	8.17
AC003101.1	NA	NA
AC004076.9	NA	NA
AC004381.6	NA	NA
AC004466.1	NA	NA
AC004899.1	NA	NA
AC005358.1	NA	NA
AC005609.1	NA	NA
AC006435.1	NA	NA
AC007040.11	NA	NA
AC007390.5	NA	NA
AC010327.2	NA	NA
AC010336.1	NA	NA
AC010441.1	NA	NA
AC011484.1	NA	NA
AC011997.1	NA	NA
AC012123.1	NA	NA
AC012493.2	NA	NA
AC013449.1	NA	NA
AC015989.2	NA	NA
AC018470.1	NA	NA
AC018816.3	NA	NA
AC018867.2	NA	NA
AC020922.1	NA	NA
AC022400.2	NA	NA
AC022532.1	NA	NA
AC026703.1	NA	NA
AC040160.1	NA	NA
AC074212.3	NA	NA
AC079210.1	NA	NA
AC087645.1	NA	NA
AC093157.1	NA	NA
AC103809.2	NA	NA
AC106876.2	NA	NA
AC110615.1	NA	NA
AC114494.1	NA	NA
AC129492.6	NA	NA
ACAA1	0.06	58.85
ACAA2	-0.58	18.72
ACACA	-1.61	2.96
ACACB	-1.97	1.78
ACAD10	-0.54	20.05
ACAD11	0.6	82.9
ACAD8	-0.38	27.88
ACAD9	-0.84	11.36
ACADL	-0.36	29.16
ACADM	-0.25	35.99
ACADS	-0.2	39.11
ACADSB	-0.4	26.73
ACADVL	0.03	55.79
ACAN	1.28	93.77
ACAP1	0	54.03
ACAP2	-0.6	17.91
ACAP3	-0.35	29.49
ACAT1	-0.54	20.26
ACAT2	-0.36	28.93
ACBD3	0.15	64.51
ACBD4	0.46	78.59
ACBD5	-0.56	19.73
ACBD6	-0.43	25.15
ACBD7	0.15	64.11
ACCS	0.29	71.57
ACCSL	-0.15	42.23
ACD	-0.6	18.14
ACE	-0.57	18.91
ACE2	0.89	89.14
ACER1	-0.03	51.92
ACER2	0.17	65.76
ACER3	0.06	58.26
ACHE	-0.6	18.14
ACIN1	-0.44	24.71
ACLY	-0.77	13.1
ACMSD	-0.4	26.53
ACN9	0.3	72.01
ACO1	-1.08	7.24
ACO2	-1	8.47
ACOT1	NA	NA
ACOT11	0.72	85.86
ACOT12	0.16	64.82
ACOT13	0.33	73.11
ACOT2	NA	NA
ACOT4	0.28	71.41
ACOT6	0.55	81.22
ACOT7	-0.76	13.45
ACOT8	0.11	62
ACOT9	0.44	77.7
ACOX1	0.13	63.57
ACOX2	-0.57	18.96
ACOX3	-0.79	12.63
ACOXL	1.87	97.2
ACP1	0.26	70.26
ACP2	0.09	60.47
ACP5	0.35	74.58
ACP6	0.86	88.74
ACPL2	-0.38	28.01
ACPP	-0.6	17.91
ACPT	-0.22	37.54
ACR	-0.6	17.91
ACRBP	-0.69	15.2
ACRC	-0.35	29.43
ACRV1	0.08	60.09
ACSBG1	-0.37	28.2
ACSBG2	1.72	96.48
ACSF2	-0.18	40.45
ACSF3	-0.88	10.54
ACSL1	-0.84	11.36
ACSL3	0.13	63.49
ACSL4	-0.56	19.31
ACSL5	0.27	70.64
ACSL6	-0.64	16.63
ACSM1	0.12	62.17
ACSM2A	0.41	76.51
ACSM2B	0.56	81.71
ACSM3	1.29	93.85
ACSM4	-0.46	23.57
ACSM5	3.18	99.33
ACSS1	-0.95	9.32
ACSS2	-0.49	22.7
ACSS3	-0.42	25.64
ACTA1	-0.3	32.62
ACTA2	-0.27	33.97
ACTB	-0.67	15.62
ACTBL2	0.89	89.24
ACTC1	-0.21	38.28
ACTG1	-1.93	1.91
ACTG2	-0.36	28.63
ACTL10	NA	NA
ACTL6A	0.28	71.27
ACTL6B	-0.34	30.07
ACTL7A	-0.13	43.98
ACTL7B	-0.29	33.34
ACTL8	-0.07	48.69
ACTL9	0.33	73.54
ACTN1	-1.33	4.71
ACTN2	-1.72	2.47
ACTN4	-0.71	14.78
ACTR10	-0.25	35.75
ACTR1A	-0.36	28.63
ACTR1B	-0.36	29.16
ACTR2	-0.1	46.2
ACTR3	0.13	62.74
ACTR3B	-0.43	25.15
ACTR3C	0.48	78.95
ACTR5	0.27	70.58
ACTR6	-0.25	35.75
